fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_from_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Carrot,spoiled,20250729,4,2,17,17,17,3,26.86,31.04,4.18,17,17,17,3,TRUE,TRUE,TRUE,3,18.9108,17.8423,18.2921,18.3484,FALSE,0,-1,FALSE,,26.19,29.55,3.36,26.64,30.91,4.27,27.75,32.68,4.93,3.1485,21.8746,15.7,1.5994,19.4045,16.28,0.1877,18.11,18.4743,train
Carrot,spoiled,20250730,5,3,17,17,17,3,27.58,31.81,4.23,17,17,17,3,TRUE,TRUE,TRUE,3,18.25,18.5215,15.1204,17.2973,FALSE,0,-2,FALSE,,27.21,30.64,3.43,27.05,31.15,4.1,28.49,33.63,5.14,1.1752,19.45,17.15,1.4967,17.063,19.98,0.9036,16.0809,14.3077,train
Carrot,spoiled,20250731,6,4,17,17,17,3,28.06,31.86,3.8,17,17,17,3,TRUE,TRUE,TRUE,3,15.7813,19.5258,20.0713,18.4595,FALSE,0,-3,FALSE,,27.66,31.05,3.39,27.77,31.35,3.58,28.74,33.18,4.44,2.7686,12.9536,18.3733,0.6538,20.165,18.8867,1.621,18.6053,21.8304,train
Carrot,spoiled,20250801,7,5,17,17,17,3,28.0,32.2,4.2,17,17,16,3,TRUE,TRUE,TRUE,3,15.5396,16.6173,15.9428,16.0332,FALSE,0,-4,FALSE,,27.38,31.28,3.9,28.06,31.93,3.87,28.56,33.4,4.84,0.1536,15.7,15.3964,0.7104,15.8714,17.27,1.0371,14.9669,17.0,train
Carrot,spoiled,20250802,8,6,17,16,17,3,27.24,31.06,3.82,17,17,17,3,TRUE,TRUE,TRUE,3,17.4104,16.0653,12.8181,15.4313,FALSE,0,-5,FALSE,,27.11,30.65,3.54,28.1,31.48,3.38,26.56,31.07,4.51,1.6503,15.6,18.8587,1.1484,17.18,14.906,1.3975,11.4341,14.2021,val
Carrot,spoiled,20250804,9,7,17,17,16,3,26.01,28.42,2.41,17,17,17,3,FALSE,FALSE,FALSE,0,,,,,FALSE,0,-7,FALSE,,25.19,27.66,2.47,25.41,27.81,2.4,27.51,29.86,2.35,,,,,,,,,,test
Guava,not_spoiled,20250625,1,1,18,17,25,3,26.95,28.66,1.71,17,17,17,3,TRUE,TRUE,TRUE,3,16.064,15.3646,14.396,15.2749,FALSE,5,5,FALSE,,26.58,28.48,1.9,27.82,29.39,1.57,26.61,28.29,1.68,0.6035,15.8734,16.2546,0.8827,16.2246,14.4794,2.1157,16.496,12.296,train
Guava,not_spoiled,20250626,2,2,17,17,16,3,27.34,28.7,1.36,17,17,17,3,TRUE,TRUE,TRUE,3,14.3132,13.5109,7.857,11.8937,FALSE,4,4,FALSE,,27.08,28.22,1.14,26.95,28.56,1.61,28.02,29.35,1.33,0.9868,13.1518,15.1358,0.281,13.5324,13.49,0.0817,7.83,7.884,train
Guava,not_spoiled,20250627,3,3,17,17,17,3,26.93,28.16,1.23,17,17,17,3,TRUE,TRUE,TRUE,3,8.4159,13.8335,14.133,12.1275,FALSE,3,3,FALSE,,26.82,28.0,1.18,26.91,28.11,1.2,27.05,28.38,1.33,0.25,8.4506,8.3947,1.0755,14.8674,12.735,0.3702,13.78,14.5081,val
Guava,not_spoiled,20250628,4,4,17,17,17,3,27.76,28.97,1.21,17,17,17,3,TRUE,TRUE,TRUE,3,14.4097,12.1145,12.6888,13.071,FALSE,2,2,FALSE,,26.61,27.75,1.14,28.38,29.65,1.27,28.29,29.51,1.22,2.4813,16.945,12.0235,0.8479,12.9262,11.2522,0.939,11.7603,13.6172,test
Guava,spoiled,20250630,5,1,17,17,17,3,29.36,30.75,1.39,17,17,17,3,TRUE,TRUE,TRUE,3,15.8112,10.1196,8.5706,11.5005,FALSE,0,0,FALSE,,28.11,29.21,1.1,29.73,31.14,1.41,30.25,31.89,1.64,1.1514,16.8187,14.5216,2.1339,12.4332,8.1917,0.724,9.2664,7.83,train
Guava,spoiled,20250701,6,2,17,17,17,3,29.29,30.85,1.56,17,17,17,3,TRUE,TRUE,TRUE,3,11.4844,15.5262,16.6063,14.539,FALSE,0,-1,FALSE,,28.42,29.72,1.3,29.42,30.97,1.55,30.03,31.88,1.85,1.8861,13.378,9.6519,0.2238,15.7235,15.3097,0.053,16.5933,16.6207,train
Guava,spoiled,20250702,7,3,17,17,17,3,28.29,29.9,1.61,17,17,17,3,TRUE,TRUE,TRUE,3,17.135,18.6202,12.1752,15.9768,FALSE,0,-2,FALSE,,28.26,29.74,1.48,28.49,30.18,1.69,28.12,29.78,1.66,2.7678,19.8783,14.3917,0.8413,19.4297,17.7837,0.066,12.1435,12.2068,train
Guava,spoiled,20250703,8,4,17,17,17,3,27.26,28.89,1.63,17,17,17,3,TRUE,TRUE,TRUE,3,16.1687,13.2348,14.9265,14.7767,FALSE,0,-3,FALSE,,27.23,28.65,1.42,27.43,28.93,1.5,27.11,29.09,1.98,0.6078,15.5871,16.7697,0.3484,13.5762,12.8934,0.817,14.2761,15.9398,train
Guava,spoiled,20250704,9,5,17,17,17,3,27.03,29.07,2.04,17,17,17,3,TRUE,TRUE,TRUE,3,14.7287,11.9424,12.2141,12.9617,FALSE,0,-4,FALSE,,25.98,27.81,1.83,27.34,29.36,2.02,27.77,30.04,2.27,1.2936,16.0927,13.5253,0.1866,12.13,11.7744,0.9167,13.0686,11.2441,val
Guava,spoiled,20250705,10,6,17,17,17,3,27.1,29.24,2.14,17,20,14,3,TRUE,TRUE,TRUE,3,13.0522,11.5719,8.9863,11.2035,FALSE,0,-5,FALSE,,27.14,29.14,2.0,26.41,28.61,2.2,27.75,29.95,2.2,0.5362,13.6602,12.5906,2.0007,13.2844,9.26,0.358,8.59,9.2971,test
Mango,not_spoiled,20250920,1,1,17,17,17,3,30.53,32.01,1.48,17,17,17,3,TRUE,TRUE,TRUE,3,16.708,14.9108,16.1825,15.9338,FALSE,9,9,FALSE,,30.04,31.52,1.48,30.5,31.98,1.48,31.05,32.52,1.47,1.3513,15.484,18.1652,0.7712,15.6143,14.09,1.0313,17.1862,15.1429,train
Mango,not_spoiled,20250922,2,2,17,17,17,3,31.18,32.7,1.52,17,17,17,3,TRUE,TRUE,TRUE,3,13.888,15.2269,17.4864,15.5338,FALSE,7,7,FALSE,,30.42,32.14,1.72,30.95,32.34,1.39,32.18,33.63,1.45,0.3485,14.24,13.55,3.1254,12.6471,18.8817,1.4215,16.1448,18.9557,train
Mango,not_spoiled,20250923,3,3,17,17,17,3,31.46,33.12,1.66,17,17,17,3,TRUE,TRUE,TRUE,3,16.804,12.561,15.3216,14.8955,FALSE,6,6,FALSE,,31.01,32.86,1.85,31.42,32.92,1.5,31.96,33.57,1.61,0.9838,17.8167,15.8692,0.3292,12.93,12.2759,2.5193,13.1114,18.1345,train
Mango,not_spoiled,20250924,4,4,17,17,17,3,30.71,32.39,1.68,17,18,17,3,TRUE,TRUE,TRUE,3,15.9989,17.4559,16.7449,16.7332,FALSE,5,5,FALSE,,30.52,32.41,1.89,30.01,31.61,1.6,31.61,33.16,1.55,0.0876,15.93,16.0785,0.2186,17.2309,17.655,0.1436,16.8819,16.613,val
Mango,not_spoiled,20250926,5,5,17,17,17,3,31.58,33.26,1.68,17,17,17,3,FALSE,FALSE,FALSE,0,,,,,FALSE,3,3,FALSE,,30.69,32.66,1.97,31.74,33.22,1.48,32.31,33.91,1.6,,,,,,,,,,test
Mango,spoiled,20250929,6,1,17,17,17,3,29.69,31.5,1.81,17,0,17,2,TRUE,TRUE,TRUE,3,17.9584,17.043,18.1502,17.7172,TRUE,0,0,FALSE,,29.31,31.25,1.94,29.41,31.14,1.73,30.36,32.11,1.75,0.649,17.35,18.6369,0.0455,17.0352,17.0514,0.6664,17.3144,18.669,train
Mango,spoiled,20250930,7,2,17,17,17,3,30.02,31.73,1.71,17,17,17,3,TRUE,TRUE,TRUE,3,17.2646,12.252,17.8502,15.7889,FALSE,0,-1,FALSE,,28.65,30.62,1.97,29.92,31.61,1.69,31.48,32.96,1.48,0.547,16.7432,17.8262,0.4228,11.834,12.67,1.6066,19.44,16.2604,val
Mango,spoiled,20251003,8,3,16,34,0,2,29.9,31.49,1.59,17,34,0,2,FALSE,FALSE,FALSE,0,,,,,TRUE,0,-4,FALSE,,29.33,31.07,1.74,30.16,31.69,1.53,,,,,,,,,,,,,test
Indian_Gooseberry,not_spoiled,20250723,1,1,17,18,17,3,26.94,28.15,1.21,17,17,17,3,FALSE,TRUE,TRUE,2,,16.8025,13.228,15.0152,FALSE,21,21,FALSE,,26.58,27.77,1.19,27.17,28.33,1.16,27.05,28.32,1.27,,,,0.2289,17.0814,16.6303,0.4096,12.8,13.6025,train
Indian_Gooseberry,not_spoiled,20250724,2,2,17,17,17,3,27.16,28.42,1.26,17,17,34,3,TRUE,TRUE,TRUE,3,17.2787,14.9028,17.674,16.6185,FALSE,20,20,FALSE,,26.78,28.07,1.29,27.23,28.49,1.26,27.46,28.69,1.23,0.3269,17.5582,16.9131,1.5651,13.43,16.4983,0.88,18.5015,16.7775,train
Indian_Gooseberry,not_spoiled,20250725,3,3,17,17,17,3,26.75,28.01,1.26,17,17,17,3,TRUE,TRUE,TRUE,3,16.4396,17.012,16.5719,16.6745,FALSE,19,19,FALSE,,26.51,27.81,1.3,26.61,27.87,1.26,27.14,28.34,1.2,0.2759,16.7192,16.18,0.5864,16.46,17.61,1.2119,15.3385,17.7171,train
Indian_Gooseberry,not_spoiled,20250726,4,4,17,17,17,3,26.45,27.75,1.3,17,17,17,3,TRUE,TRUE,TRUE,3,13.3389,13.6736,13.9038,13.6388,FALSE,18,18,FALSE,,26.02,27.37,1.35,26.84,28.07,1.23,26.49,27.8,1.31,0.9929,12.4,14.35,0.6017,14.24,13.06,1.3648,15.3,12.6345,train
Indian_Gooseberry,not_spoiled,20250728,5,5,17,17,17,3,27.86,29.15,1.29,17,17,17,3,TRUE,TRUE,TRUE,3,18.2219,17.0969,13.366,16.2283,FALSE,16,16,FALSE,,26.35,27.64,1.29,27.55,28.84,1.29,29.68,30.98,1.3,0.7278,18.9346,17.5092,0.062,17.0831,17.1108,1.0899,12.42,14.57,train
Indian_Gooseberry,not_spoiled,20250729,6,6,17,17,17,3,29.68,31.04,1.36,17,17,17,3,TRUE,TRUE,TRUE,3,18.8008,18.0455,15.748,17.5314,FALSE,15,15,FALSE,,28.32,29.58,1.26,29.68,31.11,1.43,31.03,32.43,1.4,2.6181,21.3677,16.2338,1.1722,19.3,17.0,0.051,15.7,15.8,train
Indian_Gooseberry,not_spoiled,20250730,7,7,17,17,17,3,30.24,31.57,1.33,17,17,17,3,TRUE,TRUE,TRUE,3,19.0653,18.9824,16.4746,18.1741,FALSE,14,14,FALSE,,29.38,30.67,1.29,29.87,31.14,1.27,31.46,32.91,1.45,0.6363,18.44,19.6907,0.5769,18.44,19.57,1.292,15.1,17.6377,train
Indian_Gooseberry,not_spoiled,20250731,8,8,17,17,17,3,30.64,32.04,1.4,17,17,17,3,TRUE,TRUE,TRUE,3,18.638,16.7504,17.8084,17.7323,FALSE,13,13,FALSE,,29.93,31.33,1.4,30.33,31.61,1.28,31.66,33.19,1.53,4.2048,14.35,22.5962,0.8325,17.53,15.9,0.9457,18.6873,16.8083,train
Indian_Gooseberry,not_spoiled,20250801,9,9,17,17,17,3,30.88,32.27,1.39,17,17,17,3,TRUE,TRUE,TRUE,3,17.3346,17.7777,19.9644,18.3589,FALSE,12,12,FALSE,,29.85,31.24,1.39,30.55,31.91,1.36,32.25,33.67,1.42,1.6974,19.15,15.7786,0.6039,17.18,18.3754,0.7989,19.15,20.7162,train
Indian_Gooseberry,not_spoiled,20250802,10,10,17,17,17,3,29.99,31.3,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,13.6989,14.5325,15.505,14.5788,FALSE,11,11,FALSE,,29.48,30.89,1.41,30.08,31.37,1.29,30.41,31.63,1.22,1.0638,12.6652,14.7723,0.6285,13.9677,15.2,1.1605,14.46,16.74,train
Indian_Gooseberry,not_spoiled,20250804,11,11,17,17,17,3,27.48,28.86,1.38,17,17,17,3,TRUE,TRUE,TRUE,3,18.4963,11.0878,16.6924,15.4255,FALSE,9,9,FALSE,,26.84,28.25,1.41,26.18,27.66,1.48,29.41,30.68,1.27,0.0794,18.4286,18.5692,0.3256,10.75,11.3907,0.7319,15.9277,17.3779,train
Indian_Gooseberry,not_spoiled,20250805,12,12,17,17,17,3,28.04,29.36,1.32,17,17,17,3,TRUE,TRUE,TRUE,3,16.8493,16.003,17.9088,16.9204,FALSE,8,8,FALSE,,27.31,28.67,1.36,28.25,29.55,1.3,28.56,29.87,1.31,0.0376,16.8686,16.83,1.0143,15.045,17.0346,1.2848,16.83,19.38,train
Indian_Gooseberry,not_spoiled,20250806,13,13,17,17,17,3,29.12,30.39,1.27,0,17,17,2,TRUE,TRUE,TRUE,3,17.2924,18.1075,18.3561,17.9187,FALSE,7,7,FALSE,,27.06,28.27,1.21,30.18,31.35,1.17,30.12,31.56,1.44,0.8046,16.28,17.9154,0.667,17.455,18.76,0.9511,19.3213,17.4513,train
Indian_Gooseberry,not_spoiled,20250807,14,14,17,0,17,2,28.81,30.19,1.38,17,17,17,3,TRUE,TRUE,TRUE,3,17.6666,17.243,14.8592,16.5896,FALSE,6,6,FALSE,,28.94,30.27,1.33,,,,28.68,30.11,1.43,1.8825,15.88,19.5807,2.0256,19.1386,15.12,0.8584,14.01,15.7083,val
Indian_Gooseberry,not_spoiled,20250808,15,15,17,17,17,3,28.88,30.29,1.41,17,17,0,2,TRUE,TRUE,TRUE,3,18.7943,16.6855,17.4184,17.6327,FALSE,5,5,FALSE,,28.45,29.84,1.39,28.89,30.24,1.35,29.29,30.78,1.49,2.4967,16.4704,21.4213,1.4004,18.2096,15.4241,1.1868,18.44,16.0775,val
Indian_Gooseberry,not_spoiled,20250809,16,16,17,18,17,3,28.61,29.95,1.34,17,0,17,2,TRUE,TRUE,TRUE,3,12.8214,18.3202,16.3467,15.8294,FALSE,4,4,FALSE,,28.09,29.44,1.35,28.63,29.97,1.34,29.11,30.44,1.33,1.2011,11.6321,14.0107,0.9074,19.2177,17.4227,0.6736,15.6833,17.01,val
Indian_Gooseberry,not_spoiled,20250811,17,17,17,17,17,3,29.5,30.74,1.24,17,17,17,3,TRUE,TRUE,TRUE,3,17.9778,18.15,20.4944,18.8741,FALSE,2,2,FALSE,,29.57,30.81,1.24,29.16,30.38,1.22,29.75,31.02,1.27,0.0385,17.9974,17.95,0.2878,18.44,17.8823,0.4202,20.9582,20.13,test
Indian_Gooseberry,not_spoiled,20250812,18,18,17,17,17,3,28.65,29.96,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,16.5873,19.8561,18.7344,18.3926,FALSE,1,1,FALSE,,28.41,29.75,1.34,28.7,29.99,1.29,28.83,30.15,1.32,0.7342,15.8615,17.3131,0.1639,20.0231,19.7113,1.0407,17.7554,19.795,test
Indian_Gooseberry,spoiled,20250813,19,1,17,17,17,3,27.88,29.26,1.38,17,17,17,3,TRUE,TRUE,TRUE,3,17.3304,19.5116,16.4285,17.7568,FALSE,0,0,FALSE,,27.55,28.96,1.41,27.62,28.94,1.32,28.47,29.88,1.41,0.3315,17.0193,17.6654,1.9028,17.86,21.635,0.2072,16.6346,16.2371,train
Indian_Gooseberry,spoiled,20250814,20,2,17,17,17,3,27.28,28.58,1.3,17,17,17,3,TRUE,TRUE,TRUE,3,14.2846,14.049,13.4407,13.9248,FALSE,0,-1,FALSE,,27.09,28.38,1.29,27.22,28.59,1.37,27.54,28.77,1.23,1.9675,12.4,16.28,1.1928,12.9138,15.26,1.4248,11.99,14.7879,train
Indian_Gooseberry,spoiled,20250815,21,3,17,17,17,3,26.51,27.93,1.42,17,0,17,2,TRUE,FALSE,TRUE,2,15.719,,15.3606,15.5398,FALSE,0,-2,FALSE,,25.61,27.3,1.69,26.95,28.25,1.3,26.95,28.25,1.3,0.4274,16.138,15.3,,,,0.2829,15.6,15.0413,train
Indian_Gooseberry,spoiled,20250816,22,4,17,0,0,1,25.67,27.01,1.34,17,0,0,1,TRUE,FALSE,FALSE,1,17.8913,,,17.8913,FALSE,0,-3,FALSE,,25.67,27.01,1.34,,,,,,,1.8602,19.6007,15.9084,,,,,,,train
Indian_Gooseberry,spoiled,20250818,23,5,17,34,0,2,26.07,27.32,1.25,17,34,17,3,TRUE,TRUE,TRUE,3,15.6776,12.2758,14.4481,14.1338,FALSE,0,-5,FALSE,,25.69,26.94,1.25,26.26,27.51,1.25,,,,0.3126,15.3889,16.0025,1.259,13.5915,11.0962,2.8115,11.9948,17.6024,train
Indian_Gooseberry,spoiled,20250829,24,6,17,17,17,3,27.24,28.55,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,15.0755,16.354,16.1533,15.8609,TRUE,0,-16,FALSE,,26.05,27.41,1.36,27.59,28.8,1.21,28.07,29.44,1.37,2.0262,17.0106,13.0194,0.1775,16.1867,16.5213,1.569,17.7,14.6067,train
Indian_Gooseberry,spoiled,20250830,25,7,0,17,17,2,28.11,29.47,1.36,0,17,17,2,FALSE,TRUE,TRUE,2,,17.7716,17.02,17.3958,FALSE,0,-17,FALSE,,,,,28.09,29.44,1.35,28.14,29.51,1.37,,,,0.8922,18.6756,16.9153,0.4384,16.6167,17.4738,train
Indian_Gooseberry,spoiled,20250901,26,8,17,34,0,2,28.97,30.28,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,11.6811,16.3632,16.2709,14.7717,FALSE,0,-19,FALSE,,27.5,28.89,1.39,29.7,30.97,1.27,,,,0.315,12.0058,11.39,0.654,15.7036,17.0,1.9517,14.5345,18.424,train
Indian_Gooseberry,spoiled,20250902,27,9,17,16,17,3,30.0,31.27,1.27,17,17,17,3,TRUE,TRUE,TRUE,3,14.7889,13.5668,11.6167,13.3241,FALSE,0,-20,FALSE,,28.9,30.19,1.29,29.64,30.84,1.2,31.44,32.76,1.32,3.8251,18.56,11.0178,1.7999,15.1391,11.5578,0.8933,10.8609,12.6394,val
Indian_Gooseberry,spoiled,20250903,28,10,17,17,17,3,29.61,30.99,1.38,17,17,17,3,TRUE,TRUE,TRUE,3,16.5806,14.928,13.7461,15.0849,FALSE,0,-21,FALSE,,29.55,30.82,1.27,29.94,31.26,1.32,29.34,30.9,1.56,1.7768,15.1,18.6533,0.1381,15.067,14.8121,0.9978,14.8382,12.8619,val
Indian_Gooseberry,spoiled,20250904,29,11,17,0,0,1,28.25,29.55,1.3,17,0,0,1,TRUE,TRUE,FALSE,2,13.5716,14.4218,,13.9967,FALSE,0,-22,FALSE,,28.25,29.55,1.3,,,,,,,0.0526,13.5813,13.561,1.4018,15.9935,13.2073,,,,test
Indian_Gooseberry,spoiled,20250908,30,12,17,16,17,3,30.9,32.19,1.29,17,17,17,3,TRUE,TRUE,TRUE,3,13.1158,15.06,16.9413,15.039,TRUE,0,-26,FALSE,,29.82,31.08,1.26,30.63,31.87,1.24,32.22,33.6,1.38,1.2645,11.84,14.3461,1.5348,13.55,16.57,0.6793,17.61,16.2726,test
Tomato,not_spoiled,20250723,1,1,17,16,17,3,26.65,27.96,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,18.1992,16.9116,16.9821,17.3643,FALSE,65,65,FALSE,,25.73,27.04,1.31,26.42,27.69,1.27,27.79,29.14,1.35,0.0343,18.2062,18.1956,0.6871,17.6357,16.2779,0.5138,16.4793,17.485,train
Tomato,not_spoiled,20250724,2,2,17,17,16,3,27.8,28.92,1.12,17,17,17,3,TRUE,TRUE,TRUE,3,15.3872,15.1204,17.3204,15.9427,FALSE,64,64,FALSE,,27.71,28.76,1.05,27.79,28.98,1.19,27.92,29.02,1.1,0.8513,14.46,16.1406,0.0783,15.0679,15.1769,2.4644,19.83,14.99,train
Tomato,not_spoiled,20250725,3,3,17,17,17,3,27.44,28.58,1.14,17,17,17,3,TRUE,TRUE,TRUE,3,20.2541,17.3126,14.6,17.3889,FALSE,63,63,FALSE,,27.25,28.32,1.07,27.08,28.3,1.22,27.99,29.14,1.15,1.4692,21.75,18.865,0.495,16.8092,17.78,1.2748,15.8,13.3,train
Tomato,not_spoiled,20250726,4,4,17,17,17,3,27.1,28.22,1.12,17,17,17,3,TRUE,TRUE,TRUE,3,16.6561,16.401,12.4392,15.1654,FALSE,62,62,FALSE,,26.8,27.93,1.13,27.32,28.49,1.17,27.19,28.24,1.05,0.4114,17.09,16.28,0.1233,16.28,16.514,0.0642,12.4754,12.4,train
Tomato,not_spoiled,20250728,5,5,17,17,17,3,28.31,29.74,1.43,17,17,17,3,TRUE,TRUE,TRUE,3,15.8552,17.4277,17.207,16.83,FALSE,60,60,FALSE,,26.92,27.96,1.04,27.62,28.95,1.33,30.39,32.29,1.9,1.213,17.09,14.7086,0.0576,17.4645,17.3909,0.395,16.8375,17.61,train
Tomato,not_spoiled,20250729,6,6,17,17,17,3,30.13,31.55,1.42,17,17,17,3,TRUE,TRUE,TRUE,3,15.745,16.2516,15.9178,15.9715,FALSE,59,59,FALSE,,28.76,29.9,1.14,30.26,31.58,1.32,31.37,33.17,1.8,0.3451,16.0817,15.4083,1.1478,15.0817,17.3315,1.9815,13.9,17.7914,train
Tomato,not_spoiled,20250730,7,7,17,17,17,3,31.2,32.51,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,19.0915,20.36,18.942,19.4645,FALSE,58,58,FALSE,,30.16,31.3,1.14,30.85,32.03,1.18,32.59,34.19,1.6,0.214,19.3,18.8831,2.0023,22.3231,18.3969,0.04,18.9464,18.9386,train
Tomato,not_spoiled,20250731,8,8,17,17,17,3,31.38,32.68,1.3,17,17,17,3,TRUE,TRUE,TRUE,3,17.95,17.7692,18.4165,18.0452,FALSE,57,57,FALSE,,30.83,31.91,1.08,31.11,32.25,1.14,32.2,33.87,1.67,0.0,17.95,17.95,1.3151,16.37,18.9531,0.4672,17.9471,18.8712,train
Tomato,not_spoiled,20250801,9,9,17,17,17,3,31.5,32.8,1.3,17,17,17,3,TRUE,TRUE,TRUE,3,19.9994,16.22,16.9431,17.7208,FALSE,56,56,FALSE,,30.86,32.0,1.14,31.04,32.27,1.23,32.59,34.14,1.55,0.8047,20.8108,19.2181,1.0328,15.2385,17.2833,0.9309,16.162,18.0082,train
Tomato,not_spoiled,20250802,10,10,17,16,17,3,30.52,31.73,1.21,17,17,17,3,TRUE,TRUE,TRUE,3,16.951,15.9655,15.4712,16.1292,FALSE,55,55,FALSE,,30.21,31.41,1.2,30.81,31.91,1.1,30.57,31.88,1.31,1.3799,18.344,15.6115,0.6226,16.52,15.3,2.2644,13.34,17.78,train
